src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,is_partial,Label
92.15.52.190,202.51.233.135,57134,7777,6,4.086779,12,6,2002,2676,60,60,60.0,0.0,102,60,67.0,15.652475842498529,2404.562059896829,24.5472045100473,0.1726044416666666,0.3970340732425752,1.5310199999999998,0,2.839517,0.2581379090909091,0.4030126026336362,1.004016,0.0,1.058366,0.2116732,0.3926883579503726,0.995735,0.000627,0,1,0,0,240,120,4.226070842329875,4.810537000245337,114,300,195.63946869070207,65.11247854468873,2121.0920285602147,0,0,0,30,48,0,0,0,2.128787878787879,195.63946869070207,60.0,67.0,24.0,4.0,470.08128488884535,72.0,5.0,1149.5904583991953,23,2002,25,2676,1010,1011,12,20,0,0,0,0,0,0,0,0,0,Benign
202.51.233.135,92.15.52.190,7777,57138,6,3.835463,24,10,3518,2222,150,102,120.66666666666669,15.084944665313014,182,54,119.6,33.903392160667345,2903.0888604327324,28.81325206437596,0.1472235433436531,0.3463809336625879,1.588849,0,2.174718,0.0945529565217391,0.2472323461322195,1.002124,0.0,1.194454,0.1327171111111111,0.3139122547961609,1.005746,3.9e-05,24,9,0,0,480,200,9.952373744808698,7.022580405034348,114,332,201.5641025641025,66.16697973998359,2209.057856673241,0,0,0,39,57,0,0,0,1.875,201.5641025641025,120.66666666666669,119.6,448.0,6.666666666666667,110001.63692912096,512.0,7.0,114669.65285554311,32,3518,25,2222,1147,1150,24,20,0,0,0,0,0,0,0,0,0,Benign
202.51.233.135,92.15.52.190,7777,57106,6,5.678081000000001,7,31,1888,3954,118,102,111.14285714285714,7.917946548886296,150,102,115.93548387096774,15.06531047156276,2033.424834126354,21.24802214662821,0.2934674680851062,0.1688394158187074,0.5821959999999999,0,2.55989,0.4266483333333333,0.1908029604021442,0.512152,0.0,2.842909,0.0947636333333333,0.1660762764361571,0.512042,2.4e-05,7,31,0,0,140,620,2.515951130165248,10.70503720345752,120,268,185.53846153846155,56.01568992161055,1575.7869822485209,0,0,0,39,61,0,0,0,2.680672268907563,185.53846153846155,111.14285714285714,115.93548387096774,0.0,0.0,0.0,560.0,9.0,2861.849333853463,24,1888,37,3954,1422,1423,7,20,0,0,0,0,0,0,0,0,0,Benign
92.15.52.190,202.51.233.135,57134,7777,6,4.871539,15,11,3820,3662,150,60,71.6,25.3108672312902,150,60,68.18181818181819,25.873180855923103,3080.1804642279003,30.04397723342222,0.1369935063795851,0.3622605841488664,1.630241,0,2.665481,0.1903915,0.3496782110526251,1.004545,0.0,2.017351,0.2017351,0.3540136946470997,1.005414,4.4e-05,3,1,0,0,300,220,5.626987029794896,4.986821191632657,120,316,205.02865761689293,63.4539927956953,2013.4396010637693,0,0,0,51,73,0,0,0,2.0782608695652174,205.02865761689293,71.6,68.18181818181819,120.0,5.0,22480.32971150244,0.0,0.0,0.0,38,3820,35,3662,1011,1011,15,20,0,0,0,0,0,0,0,0,0,Benign
202.51.233.135,92.15.52.190,7777,57138,6,5.840611,27,49,7184,6530,150,102,117.4074074074074,16.571415056722447,294,54,113.42857142857144,30.835971573101805,4686.75096567216,47.159047045616205,0.1032109458333333,0.276127565897584,1.497583,0,2.905457,0.1117483461538461,0.2892954084940941,1.00208,0.0,2.904802,0.0605167083333333,0.1548736455605233,0.855381,3.1e-05,27,48,0,0,540,980,9.292858231940793,16.694183678266967,114,444,199.7048026150365,60.429850243369245,1825.893245730464,0,0,0,104,138,0,0,0,1.5393518518518516,199.7048026150365,117.4074074074074,113.42857142857144,506.6666666666667,8.0,113424.37131557346,512.0,8.0,53011.216566005176,75,7184,63,6530,1148,1150,27,20,0,0,0,0,0,0,0,0,0,Benign
202.51.233.135,92.15.52.190,7777,57106,6,5.843642,17,28,3084,4006,182,54,116.11764705882354,25.078423707245605,150,102,118.0,14.813121596360824,2408.5241479767137,24.80948542793737,0.173139941077441,0.2170034401099559,0.624036,0,2.587556,0.16172225,0.2127698273118453,0.512137,0.0,2.814035,0.1042235185185185,0.1809646497577727,0.512201,3e-05,16,28,0,0,340,560,6.031902376853391,9.255298823849849,114,332,193.66031746031743,64.00484150996911,2050.4560443436635,0,0,0,46,73,0,0,0,2.294117647058824,193.66031746031743,116.11764705882354,118.0,560.0,9.0,20310.459886841723,517.3333333333334,8.0,5495.283686938788,34,3084,39,4006,1420,1425,16,20,0,0,0,0,0,0,0,0,0,Benign
92.15.52.190,202.51.233.135,57138,7777,6,5.871212,13,18,4974,4240,150,60,66.92307692307692,23.98224195095369,150,60,74.33333333333333,25.230052626888344,3124.1841842083622,31.20143413209393,0.1339941478837327,0.3608850006753696,1.645965,0,2.017776,0.168148,0.33237240928964,1.002825,0.0,2.132728,0.1254545882352941,0.1728361144277361,0.607102,0.0,1,5,0,0,260,360,4.568649226141108,5.9489736698425375,114,300,200.0409356725146,59.968818799289245,1798.3725932765635,0,0,0,65,92,0,0,0,2.423076923076924,200.0409356725146,66.92307692307692,74.33333333333333,0.0,0.0,0.0,88.0,5.0,264.3084479587679,49,4974,43,4240,1147,1150,13,20,0,0,0,0,0,0,0,0,0,Benign
202.51.233.135,92.15.52.190,7777,57106,6,5.6176960000000005,7,29,1858,3766,118,102,111.14285714285714,7.917946548886296,150,102,117.44827586206895,15.990484685450411,1992.199498471995,21.259137054450655,0.2936534565217391,0.1764699548527767,0.576003,0,2.560113,0.4266855,0.1908195620097251,0.512115,0.0,2.586264,0.0923665714285714,0.1867415649084562,0.512001,2.6e-05,7,29,0,0,140,580,2.513614815102085,10.236997072218838,120,268,182.98527004909985,56.77041533639476,1621.438408233129,0,0,0,36,60,0,0,0,2.4682539682539684,182.98527004909985,111.14285714285714,117.44827586206895,0.0,0.0,0.0,549.3333333333334,8.666666666666666,12704.579970242912,25,1858,35,3766,1424,1419,7,20,0,0,0,0,0,0,0,0,0,Benign
202.51.233.135,92.15.52.190,7777,57106,6,5.728820000000001,7,28,2068,3664,118,102,111.14285714285714,7.917946548886296,150,102,118.0,16.0,1968.1434130720957,20.962816185272796,0.2945505585106382,0.1661824115591452,0.582146,0,2.559913,0.4266521666666666,0.1908046550422854,0.512079,0.0,2.6873970000000003,0.0995332222222222,0.1693295343323481,0.511978,7.2e-05,7,28,0,0,140,560,2.5158995868533465,9.502751555651336,120,268,183.2467948717949,57.85628536629599,1689.118579470743,0,0,0,36,61,0,0,0,2.257142857142857,183.2467948717949,111.14285714285714,118.0,0.0,0.0,0.0,517.3333333333334,8.0,3575.8556017897718,27,2068,34,3664,1421,1424,7,20,0,0,0,0,0,0,0,0,0,Benign
92.15.52.190,202.51.233.135,57138,7777,6,3.261299,24,7,17788,4234,150,60,77.75,24.70703341156117,60,60,60.0,0.0,47323.7357057033,91.82462025868112,0.0662139371428571,0.1330166401369888,0.589472,0,2.900923,0.1261270869565217,0.1899122451112877,0.713286,0.0,0.180198,0.030033,0.0264202013113703,0.061806,0.002202,9,0,0,0,480,140,8.2728039841824,19.4321913682206,114,3124,728.1875843454791,902.333948924925,763308.6692655548,0,0,0,60,83,0,0,0,1.743421052631579,728.1875843454791,77.75,60.0,72.0,5.0,543.722459891029,0.0,0.0,0.0,43,17788,40,4234,1149,1146,24,20,0,0,0,0,0,0,0,0,0,Benign
