src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,is_partial,Label
10.128.0.8,10.128.0.5,54822,443,6,0.166647,4,9,6933,1025,1738,66,488.0,721.695226532641,241,66.1,98.33333333333331,56.11100110000218,240120.7387586207,696.2052015905635,0.011260552941176399,0.0216132456304247,0.073651,0,0.010277,0.0034256666666666,0.004300150875906,0.00949,0.0,0.155594,0.01944925,0.0221046005265306,0.064161,5.2e-05,1,3,0.1,0.2,80,180,387.3716831299632,57.57383844780932,132,3145,674.5555555555557,1052.012286998425,571541.6543209876,2,3.1,0.3,11,22,0.4,0.5,0.6,1.5,674.5555555555557.1,488.0.1,98.33333333333331.1,0.0.1,0.0.2,0.0.3,0.7,0.8,0.9,13,6933.1,11.1,1025.1,65813,65269,1.1,20,0.10,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,Unknown/Anomaly
10.128.0.8,10.128.0.5,54824,443,6,0.167308,4,8,6867,1113,1738,66,488.0,721.695226532641,395,66,121.625,106.4236081656697,237388.5967381969,675.190183814712,0.0125496,0.0224519457439976,0.074252,0,0.010406,0.0034686666666666,0.0042995628718381,0.009528,0.0,0.155839,0.0222627142857142,0.0223427905388119,0.064724,0.0,1,3,0,0,80,160,382.1169277799007,51.0073960724305,132,3145,716.6666666666667,1066.643867104773,584358.5972222222,2,3,0,11,20,0,0,0,1.5,716.6666666666667,488.0,121.625,0.0,0.0,0.0,0,0,0,12,6867,10,1113,65813,65269,1,20,0,0,0,0,0,0,0,0,0,Unknown/Anomaly
10.128.0.8,10.128.0.5,54838,443,6,0.166948,4,9,6758,1487,1738,66,488.0,721.695226532641,703,66,149.66666666666666,197.17110448654603,237487.53562347064,683.3863219608461,0.0113110117647058,0.0217754389420994,0.0746749999999999,0,0.010512,0.003504,0.004458028936649,0.009795,0.0,0.155678,0.0194597499999999,0.0224809994981873,0.06488,0.0,1,3,0,0,80,180,378.85963250615646,57.54843660080568,132,3145,690.5,1049.7499761077574,569598.138888889,2,3,0,11,22,0,0,0,1.5,690.5,488.0,149.66666666666666,0.0,0.0,0.0,0,0,0,13,6758,11,1487,65813,65269,1,20,0,0,0,0,0,0,0,0,0,Unknown/Anomaly
10.128.0.8,10.128.0.5,54840,443,6,0.054414,4,5,5825,586,1738,66,488.0,721.695226532641,146,66,89.2,29.76172038038124,319410.52825031814,863.1086643173561,0.0068778222222222,0.0117094438495077,0.030055,0,0.009332,0.0031106666666666,0.003822601760872,0.008495,0.0,0.044179,0.0110447499999999,0.0102593005944606,0.02156,0.0,1,2,0,0,80,100,427.4417610600556,110.97301136363636,132,3145,780.5666666666666,1122.53371854848,637258.3122222223,0,3,1,8,14,0,0,0,1.5,780.5666666666666,488.0,89.2,0.0,0.0,0.0,0,0,0,9,5825,7,586,65813,65269,1,20,0,0,0,0,0,0,0,0,0,Unknown/Anomaly
10.128.0.8,10.128.0.5,54868,443,6,0.16541,4,9,6933,1036,1738,66,488.0,721.695226532641,252,66,99.55555555555556,59.2379591349089,271746.0782255736,786.699733472392,0.0109911294117647,0.0213296651863362,0.074028,0,0.008915,0.0029716666666666,0.0036648882050555,0.008135,0.0,0.155666,0.01945825,0.0225192857277379,0.065893,1e-06,1,3,0,0,80,180,447.7779021605284,57.51644011579977,132,3145,675.1666666666667,1051.8991883597992,571444.25,2,3,0,11,22,0,0,0,1.5,675.1666666666667,488.0,99.55555555555556,0.0,0.0,0.0,0,0,0,13,6933,11,1036,65821,65269,1,20,0,0,0,0,0,0,0,0,0,Unknown/Anomaly
10.128.0.8,10.128.0.5,54854,443,6,0.164764,4,9,6758,1045,1738,66,488.0,721.695226532641,261,66,100.55555555555556,61.822525760098365,275177.82936680247,799.6168460578021,0.0109299764705881,0.021163849884122,0.073394,0,0.008742,0.002914,0.0035330602410186,0.007886,0.0,0.155004,0.0193755,0.0224450377533654,0.065508,0.0,1,3,0,0,80,180,456.15235488653207,57.69415686400205,132,3145,665.9444444444445,1040.9212296231124,562111.4228395063,2,3,0,11,22,0,0,0,1.5,665.9444444444445,488.0,100.55555555555556,0.0,0.0,0.0,0,0,0,13,6758,11,1045,65813,65301,1,20,0,0,0,0,0,0,0,0,0,Unknown/Anomaly
10.128.0.8,10.128.0.5,54852,443,6,0.163709,4,8,6867,959,1738,66,488.0,721.695226532641,241,66,102.375,58.266494445779045,280504.1675128069,801.6332288085769,0.0120592666666666,0.0217311742119096,0.073033,0,0.008521,0.0028403333333333,0.0035468859894592,0.007841,0.0,0.154331,0.0220472857142857,0.0222713238025575,0.065192,0.0,1,3,0,0,80,160,465.6577415599534,51.57330823432332,132,3145,707.0416666666667,1067.6194994070624,585228.4565972222,2,3,0,11,20,0,0,0,1.5,707.0416666666667,488.0,102.375,0.0,0.0,0.0,0,0,0,12,6867,10,959,65813,65269,1,20,0,0,0,0,0,0,0,0,0,Unknown/Anomaly
10.128.0.8,10.128.0.5,53673,80,6,3.2e-05,2,0,108,54,54,54,54.0,0.0,0,0,0.0,0.0,5062500.0,93750.0,1.6e-05,1.6e-05,3.2e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,62500.0,0.0,54,54,54.0,0.0,0.0,0,0,1,0,2,0,0,0,0.5,54.0,54.0,0.0,0.0,0.0,0.0,0,0,0,2,108,1,54,1024,0,0,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,53673,443,6,0.001404,3,0,170,58,58,54,56.66666666666666,1.8856180831641267,0,0,0.0,0.0,162393.16239316238,2849.002849002849,0.0004679999999999,0.0006379613363415,0.00137,0,0.001404,0.000702,0.000702,0.001404,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,2136.7521367521367,0.0,54,58,57.0,1.7320508075688772,3.0,0,3,1,0,1,0,0,0,0.3333333333333333,57.0,56.66666666666666,0.0,0.0,0.0,0.0,0,0,0,3,170,1,58,1024,65320,0,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,53929,23,6,3e-05,2,0,116,54,58,58,58.0,0.0,0,0,0.0,0.0,5666666.666666667,100000.0,1.5e-05,1.5e-05,3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,66666.66666666667,0.0,54,58,56.66666666666666,1.8856180831641267,3.555555555555556,0,2,1,0,1,0,0,0,0.5,56.66666666666666,58.0,0.0,0.0,0.0,0.0,0,0,0,2,116,1,54,1024,0,0,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
