src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,is_partial,Label
10.128.0.8,10.128.0.5,39324,443,6,0.008473,11,0,2711,3193,1746,54,246.45454545454547,479.1377413715304,0.1,0.2,0.3,0.4,696801.6050985483,2242.417089578662,0.0004707222222222,0.0004326843609062,0.001393,0.5,0.008473.1,0.0008473,0.0006527399252382,0.002389,0.0,0.6,0.7,0.8,0.9,0.10,3,0.11,0.12,0.13,220,0.14,1298.241472913962,0.15,54.1,1746.1,310.7368421052632,470.3797840832855,221257.14127423824,2,3.1,2.1,8,15,0.16,0.17,0.18,0.7272727272727273,310.7368421052632.1,246.45454545454547.1,0.19,0.0.1,0.0.2,0.0.3,0.20,0.21,0.22,11.1,2711.1,8.1,3193.1,65320,64768,3.2,20,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.30,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39336,443,6,0.00854,11,0,2708,3193,1746,54,246.1818181818182,479.1086075737313,0,0,0.0,0.0,690983.606557377,2224.8243559718967,0.0004744444444444,0.0004338321772583,0.001429,0,0.00854,0.000854,0.0006486333324768,0.002386,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1288.056206088993,0.0,54,1746,310.57894736842104,470.384200838944,221261.296398892,2,3,2,8,15,0,0,0,0.7272727272727273,310.57894736842104,246.1818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2708,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39340,443,6,0.008448,11,0,2702,3193,1746,54,245.63636363636363,479.0549926161017,0,0,0.0,0.0,697798.2954545454,2249.05303030303,0.0004693333333333,0.0004306159670879,0.001378,0,0.0084479999999999,0.0008447999999999,0.000617725958658,0.002276,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1302.0833333333333,0.0,54,1746,310.2631578947368,470.39589620762536,221272.29916897503,2,3,2,8,15,0,0,0,0.7272727272727273,310.2631578947368,245.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2702,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39348,443,6,0.008733,11,0,2701,3193,1746,54,245.54545454545453,479.0466600231536,0,0,0.0,0.0,674911.2561548151,2175.655559372495,0.0004851666666666,0.0004691410887047,0.001596,0,0.008733,0.0008733,0.000694953386926,0.002524,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1259.5900606893397,0.0,54,1746,310.2105263157895,470.3982164022944,221274.48199445973,2,3,2,8,15,0,0,0,0.7272727272727273,310.2105263157895,245.54545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2701,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39362,443,6,0.007907,11,0,2713,3193,1746,54,246.63636363636363,479.15802531434304,0,0,0.0,0.0,746933.0972555962,2402.934109017326,0.0004392777777777,0.0004237582913715,0.001472,0,0.007907,0.0007906999999999,0.0006400045390464,0.002342,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1391.1723789047678,0.0,54,1746,310.8421052631579,470.3773695726594,221254.86980609412,2,3,2,8,15,0,0,0,0.7272727272727273,310.8421052631579,246.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2713,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39372,443,6,0.007895,11,0,2701,3193,1746,54,245.54545454545453,479.0466600231536,0,0,0.0,0.0,746548.4483850539,2406.586447118429,0.0004386111111111,0.0004217693075194,0.001286,0,0.007895,0.0007895,0.000624082726888,0.002292,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1393.2868904369857,0.0,54,1746,310.2105263157895,470.3982164022944,221274.48199445973,2,3,2,8,15,0,0,0,0.7272727272727273,310.2105263157895,245.54545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2701,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39378,443,6,0.008233,11,0,2704,3177,1746,54,245.8181818181818,479.0721748967796,0,0,0.0,0.0,714320.4178306813,2307.785740313373,0.0004573888888888,0.0004377312898328,0.001375,0,0.008233,0.0008233,0.0006233817530213,0.00231,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1336.0864812340578,0.0,54,1746,309.5263157894737,470.300169367904,221182.2493074792,2,3,2,8,15,0,0,0,0.7272727272727273,309.5263157894737,245.8181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2704,8,3177,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39392,443,6,0.008304,11,0,2703,3193,1746,54,245.72727272727272,479.063497577037,0,0,0.0,0.0,710019.267822736,2288.053949903661,0.0004613333333333,0.0004155593285627,0.001554,0,0.008304,0.0008303999999999,0.0006523024145287,0.002383,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1324.6628131021191,0.0,54,1746,310.3157894736842,470.3936820010256,221270.21606648204,2,3,2,8,15,0,0,0,0.7272727272727273,310.3157894736842,245.72727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2703,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39400,443,6,0.007015,11,0,2702,3193,1746,54,245.63636363636363,479.0549926161017,0,0,0.0,0.0,840342.1240199571,2708.4818246614395,0.0003897222222222,0.0003696239538827,0.00127,0,0.0070149999999999,0.0007015,0.0005509858891115,0.002061,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1568.068424803991,0.0,54,1746,310.2631578947368,470.39589620762536,221272.29916897503,2,3,2,8,15,0,0,0,0.7272727272727273,310.2631578947368,245.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2702,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39410,443,6,0.007953,11,0,2701,3193,1746,54,245.54545454545453,479.0466600231536,0,0,0.0,0.0,741103.9859172639,2389.035584056331,0.0004418333333333,0.0004001519503055,0.001233,0,0.007953,0.0007953,0.0005948952933079,0.002204,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1383.1258644536654,0.0,54,1746,310.2105263157895,470.3982164022944,221274.48199445973,2,3,2,8,15,0,0,0,0.7272727272727273,310.2105263157895,245.54545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2701,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
