ingest_ts,decision_ts,latency_ms,route,is_partial,final_label
1757701855921,1757701855995,74,rf_confident,0,Benign
1757701856426,1757701856495,69,rf_confident,0,Benign
1757701856931,1757701856996,65,rf_confident,0,Benign
1757701857436,1757701857499,63,rf_confident,0,Benign
1757701857941,1757701858000,59,rf_confident,0,Benign
1757701858446,1757701858501,55,rf_confident,0,Benign
1757701858952,1757701859002,50,rf_confident,0,Benign
1757701859458,1757701859503,45,rf_confident,0,Benign
1757701859963,1757701860004,41,rf_confident,0,Benign
1757701860468,1757701860507,39,rf_confident,0,Benign
1757701906199,1757701906324,125,rf_confident,0,Benign
1757701906705,1757701906824,119,rf_confident,0,Benign
1757701907210,1757701907325,115,rf_confident,0,Benign
1757701907716,1757701907826,110,rf_confident,0,Benign
1757701908222,1757701908327,105,rf_confident,0,Benign
1757701908728,1757701908828,100,rf_confident,0,Benign
1757701909233,1757701909328,95,rf_confident,0,Benign
1757701909738,1757701909829,91,rf_confident,0,Benign
1757701910243,1757701910330,87,rf_confident,0,Benign
1757701910749,1757701910831,82,rf_confident,0,Benign
1757702068715,1757702068804,89,rf_confident,0,Benign
1757702069228,1757702069305,77,rf_confident,0,Benign
1757702069737,1757702069806,69,rf_confident,0,Benign
1757702070243,1757702070307,64,rf_confident,0,Benign
1757702070748,1757702070807,59,rf_confident,0,Benign
1757702071253,1757702071308,55,rf_confident,0,Benign
1757702071758,1757702071809,51,rf_confident,0,Benign
1757702072269,1757702072310,41,rf_confident,0,Benign
1757702072775,1757702072810,35,rf_confident,0,Benign
1757702073280,1757702073311,31,rf_confident,0,Benign
1757702290277,1757702290383,106,rf_confident,0,Benign
1757702290783,1757702290884,101,rf_confident,0,Benign
1757702291288,1757702291385,97,rf_confident,0,Benign
1757702291792,1757702291886,94,rf_confident,0,Benign
1757702292298,1757702292386,88,rf_confident,0,Benign
1757702292803,1757702292887,84,rf_confident,0,Benign
1757702293308,1757702293388,80,rf_confident,0,Benign
1757702293814,1757702293889,75,rf_confident,0,Benign
1757702294319,1757702294390,71,rf_confident,0,Benign
1757702294823,1757702294890,67,rf_confident,0,Benign
1757702304323,1757702304406,83,rf_confident,0,Benign
1757702304829,1757702304907,78,rf_confident,0,Benign
1757702305333,1757702305407,74,rf_confident,0,Benign
1757702305838,1757702305911,73,rf_confident,0,Benign
1757702306346,1757702306412,66,rf_confident,0,Benign
1757702306851,1757702306913,62,rf_confident,0,Benign
1757702307357,1757702307414,57,rf_confident,0,Benign
