y_true,s_pred,s_conf,if_score,low_conf,if_outlier,if_inlier,h_pred,is_partial,bu_mask,y_bu,s_bu,h_bu,s_correct,h_correct,s_bu_correct,h_bu_correct
Benign,Benign,1.0,0.3791000720973702,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.37680772196540824,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3441109269843075,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3994109324890843,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Brute Force (Medusa),Benign,0.48,0.37109507257715035,1,1,0,Benign,0,0,-1,-1,-1,0,0,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.3552366924557852,0,1,0,Brute Force (Hydra),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.25981429932391836,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.4226723967222809,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3824321851198085,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.3661771340802321,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.3454101653068493,0,1,0,Brute Force (Medusa),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,0.85,0.30522680117105494,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.35102065569456375,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,0.99,0.3432591834956533,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.18715687728610775,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.33452353194253265,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34713789604440626,0,1,0,Brute Force (Hydra),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3889057380818101,0,1,0,Benign,0,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.33452353194253265,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.35179798666771045,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.37589308373305413,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3531456408490731,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.036215803256602785,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.399875342287834,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.4219373439586631,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.38859885346325806,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.3281678191281915,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3773446110480042,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.37278809023926496,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.37278809023926496,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.38167591547258306,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34365402965569275,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3107900270639696,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),0.89,0.3392317795556332,0,1,0,Brute Force (Hydra),0,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3093936842961364,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3987066409096451,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3963203578918276,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Benign,Benign,0.98,0.3165900881932342,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3492184192513295,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.3502569407252681,0,1,0,Brute Force (Hydra),0,0,-1,-1,-1,1,1,-1,-1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.3454101653068493,0,1,0,Brute Force (Medusa),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.37043927214113936,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.1872358827893934,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34713789604440626,0,1,0,Brute Force (Hydra),0,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.15848674372004046,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34713789604440626,0,1,0,Brute Force (Hydra),0,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.3772398691686029,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.36055220892365053,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.33452353194253265,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3957435420159658,0,0,1,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.3719699404378153,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Benign,Benign,1.0,0.40501620088093765,0,0,1,Benign,0,1,0,0,0,1,1,1,1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.33452353194253265,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34365402965569275,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.38842341570835504,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.1462100524094666,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14716030564618043,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),1.0,0.36811944661448326,0,1,0,Denial of Service (DoS),1,0,-1,-1,-1,1,1,-1,-1
Denial of Service (DoS),Denial of Service (DoS),0.94,0.33386108901363226,0,1,0,Denial of Service (DoS),0,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.36128494936569416,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34365402965569275,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.14580123630339092,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Hydra),Brute Force (Hydra),1.0,0.34365402965569275,0,1,0,Brute Force (Hydra),1,0,-1,-1,-1,1,1,-1,-1
Brute Force (Medusa),Brute Force (Medusa),1.0,0.3056294382934411,0,1,0,Brute Force (Medusa),1,0,-1,-1,-1,1,1,-1,-1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.3281678191281915,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
Benign,Benign,1.0,0.3824817050185435,0,1,0,Benign,1,1,0,0,0,1,1,1,1
Unknown/Anomaly,Unknown/Anomaly,1.0,0.38888034492991835,0,1,0,Unknown/Anomaly,1,0,-1,-1,-1,1,1,-1,-1
