ts,final_label,rf_label,rf_conf,if_score,route,unsup_verdict,thr_in,thr_out,conf_gate,is_partial,src_ip,src_port,dst_ip,dst_port,latency_ms
1757675562.521314,Benign,Benign,0.960000,0.306171,rf_confident,outlier,0.389098,0.389098,0.750,0,193.46.255.33,20478,10.128.0.5,22,
1757675562.611679,Unknown/Anomaly,Benign,0.610000,0.378128,routed_to_IF_outlier,outlier,0.389098,0.389098,0.750,0,35.235.244.32,33207,10.128.0.5,22,
1757675562.646160,Benign,Benign,0.980000,0.381252,rf_confident,outlier,0.389098,0.389098,0.750,0,193.46.255.33,20478,10.128.0.5,22,
1757675562.681330,Benign,Benign,0.780000,0.261360,rf_confident,outlier,0.389098,0.389098,0.750,0,10.128.0.5,22,193.46.255.33,15710,
1757675564.742756,Benign,Benign,0.980000,0.380940,rf_confident,outlier,0.389098,0.389098,0.750,0,103.246.42.72,52314,10.128.0.5,22,
1757675564.778884,Benign,Benign,0.960000,0.265725,rf_confident,outlier,0.389098,0.389098,0.750,0,35.235.244.32,44095,10.128.0.5,22,
1757675567.794435,Benign,Benign,0.960000,0.298005,rf_confident,outlier,0.389098,0.389098,0.750,0,193.46.255.33,44614,10.128.0.5,22,
1757675578.513715,Benign,Benign,1.000000,0.383966,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34576,169.254.169.254,80,
1757675578.547841,Benign,Benign,1.000000,0.384175,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34580,169.254.169.254,80,
1757675578.587343,Benign,Benign,1.000000,0.398794,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,44158,169.254.169.254,53,
1757675578.620359,Benign,Benign,1.000000,0.399236,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,46828,169.254.169.254,53,
1757675578.655301,Benign,Benign,1.000000,0.396041,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,54887,169.254.169.254,53,
1757675580.533798,Benign,Benign,1.000000,0.357722,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,38512,216.239.32.174,443,
1757675580.569820,Unknown/Anomaly,Benign,0.620000,0.135712,routed_to_IF_outlier,outlier,0.379100,0.379100,0.750,1,185.156.73.233,38906,10.128.0.5,22,
1757675590.537464,Benign,Benign,1.000000,0.311911,rf_confident,outlier,0.379100,0.379100,0.750,1,64.233.179.95,443,10.128.0.5,40196,
1757675596.547710,Benign,Benign,1.000000,0.018292,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,51714,142.250.152.95,443,
1757675604.553059,Benign,Benign,1.000000,0.383208,rf_confident,inlier,0.379100,0.379100,0.750,1,35.235.245.128,36155,10.128.0.5,22,
1757675604.586476,Benign,Benign,0.990000,0.231047,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34580,
1757675604.619420,Benign,Benign,1.000000,0.236148,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34576,
1757675618.558078,Benign,Benign,1.000000,0.360271,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,42730,74.125.202.95,443,
1757675635.354264,Unknown/Anomaly,Benign,0.670000,0.299163,routed_to_IF_outlier,outlier,0.389098,0.389098,0.750,0,10.128.0.5,22,35.235.244.32,33207,
1757675636.568118,Benign,Benign,1.000000,0.380860,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34576,169.254.169.254,80,
1757675636.601228,Benign,Benign,1.000000,0.381411,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34580,169.254.169.254,80,
1757675650.575316,Benign,Benign,1.000000,0.383208,rf_confident,inlier,0.379100,0.379100,0.750,1,35.235.245.128,36155,10.128.0.5,22,
1757675654.580500,Benign,Benign,1.000000,0.041201,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,51714,142.250.152.95,443,
1757675656.584540,Benign,Benign,0.980000,0.217537,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,51196,169.254.169.254,80,
1757675656.618114,Benign,Benign,1.000000,0.391290,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,44732,169.254.169.254,53,
1757675656.654429,Benign,Benign,1.000000,0.396700,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,36705,169.254.169.254,53,
1757675656.688007,Benign,Benign,1.000000,0.396661,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,43095,169.254.169.254,53,
1757675656.720556,Benign,Benign,1.000000,0.396661,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,48463,169.254.169.254,53,
1757675656.756364,Benign,Benign,1.000000,0.102951,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,46256,74.125.132.95,443,
1757675656.844107,Benign,Benign,0.990000,0.379629,rf_confident,outlier,0.389098,0.389098,0.750,0,103.246.42.72,50262,10.128.0.5,22,
1757675663.005631,Benign,Benign,1.000000,0.338909,rf_confident,outlier,0.389098,0.389098,0.750,0,35.235.245.128,36155,10.128.0.5,22,
1757675666.607714,Benign,Benign,1.000000,0.242403,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34580,
1757675666.640841,Benign,Benign,1.000000,0.241451,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34576,
1757675684.488461,Unknown/Anomaly,Benign,0.610000,0.305980,routed_to_IF_outlier,outlier,0.389098,0.389098,0.750,0,10.128.0.5,22,35.235.244.32,33207,
1757675688.618206,Benign,Benign,1.000000,0.357722,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,46256,74.125.132.95,443,
1757675696.627484,Benign,Benign,1.000000,0.383585,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34580,169.254.169.254,80,
1757675696.664505,Benign,Benign,1.000000,0.383797,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34576,169.254.169.254,80,
1757675700.285827,Benign,Benign,0.860000,0.043749,rf_confident,outlier,0.389098,0.389098,0.750,0,10.128.0.5,51714,142.250.152.95,443,
1757675716.634418,Benign,Benign,1.000000,0.360869,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,42730,74.125.202.95,443,
1757675718.487953,Unknown/Anomaly,Benign,0.740000,0.338139,routed_to_IF_outlier,outlier,0.389098,0.389098,0.750,0,10.128.0.5,22,35.235.244.32,33207,
1757675722.636317,Benign,Benign,1.000000,0.398794,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,50125,169.254.169.254,53,
1757675722.669612,Benign,Benign,1.000000,0.397244,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,58503,169.254.169.254,53,
1757675722.703378,Benign,Benign,1.000000,0.182361,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,58616,74.125.132.95,443,
1757675724.648392,Benign,Benign,1.000000,0.383305,rf_confident,inlier,0.379100,0.379100,0.750,1,35.235.245.128,36155,10.128.0.5,22,
1757675724.683553,Benign,Benign,0.990000,0.228814,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34580,
1757675724.720558,Benign,Benign,1.000000,0.227127,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34576,
1757675743.156603,Unknown/Anomaly,Benign,0.600000,0.307245,routed_to_IF_outlier,outlier,0.389098,0.389098,0.750,0,10.128.0.5,22,35.235.244.32,33207,
1757675746.185162,Benign,Benign,0.990000,0.379359,rf_confident,outlier,0.389098,0.389098,0.750,0,103.246.42.72,48212,10.128.0.5,22,
1757675752.662240,Benign,Benign,1.000000,0.356525,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,58616,74.125.132.95,443,
1757675756.666224,Benign,Benign,1.000000,0.384386,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34580,169.254.169.254,80,
1757675756.701517,Benign,Benign,1.000000,0.383915,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34576,169.254.169.254,80,
1757675770.670908,Benign,Benign,1.000000,0.383305,rf_confident,inlier,0.379100,0.379100,0.750,1,35.235.245.128,36155,10.128.0.5,22,
