ts,proc_cpu_percent,proc_rss_mb,sys_cpu_percent
1757699545082,0.0,14.5,0.0
1757699546083,0.0,14.5,0.8
1757699547084,0.0,14.5,0.1
1757699548085,0.0,14.5,31.0
1757699549086,0.0,14.5,1.9
1757699550087,1.0,14.5,0.1
1757699551088,0.0,14.5,30.5
1757699552088,0.0,14.5,3.0
1757699553089,0.0,14.5,0.2
1757699563136,0.0,14.62,0.0
1757699564136,0.0,14.62,5.7
1757699565138,0.0,14.62,0.0
1757699566142,0.0,14.62,24.8
1757699567143,1.0,14.62,7.6
1757699568144,0.0,14.62,0.1
1757699569146,0.0,14.62,18.9
1757699570148,0.0,14.62,14.1
1757699571149,1.0,14.62,1.0
1757699572149,0.0,14.62,13.4
1757699573150,0.0,14.62,19.4
1757699574151,0.0,14.62,0.0
1757699575151,0.0,14.62,9.8
1757699576152,0.0,14.62,23.3
1757699577153,0.0,14.62,1.5
1757699578153,0.0,14.62,3.3
1757699579154,0.0,14.62,31.1
1757699580155,0.0,14.62,0.1
1757699581156,1.0,14.62,2.6
1757699582157,0.0,14.62,29.9
1757699583157,0.0,14.62,0.7
1757699584158,0.0,14.62,1.8
1757699585159,0.0,14.62,31.2
1757699586159,0.0,14.62,0.1
1757699587160,0.0,14.62,1.3
1757699588161,0.0,14.62,31.7
1757699589162,0.0,14.62,0.1
1757699590162,0.0,14.62,0.5
1757699591163,1.0,14.62,31.8
1757699592164,1.0,14.62,0.9
1757699593165,0.0,14.62,1.2
1757699594165,0.0,14.62,31.2
1757699595166,0.0,14.62,2.7
1757699596167,0.0,14.62,0.0
1757699597167,0.0,14.62,30.6
1757699598168,0.0,14.62,1.5
1757699599169,0.0,14.62,0.1
1757699600169,0.0,14.62,29.8
1757699601170,0.0,14.62,3.8
1757699602171,0.0,14.62,0.1
1757699603172,1.0,14.62,29.3
1757699604172,0.0,14.62,3.3
1757699605173,0.0,14.62,0.1
1757699606174,0.0,14.62,28.5
1757699607175,0.0,14.62,4.1
1757699608175,0.0,14.62,0.0
1757699609176,0.0,14.62,27.8
1757699610177,0.0,14.62,4.6
1757699611177,0.0,14.62,0.5
1757699612179,0.0,14.62,24.0
1757699613180,1.0,14.62,8.5
1757699614181,0.0,14.62,0.1
1757699615183,0.0,14.62,19.0
1757699616184,0.0,14.62,12.9
1757699617185,0.0,14.62,0.2
1757699618185,0.0,14.62,11.6
1757699619186,0.0,14.62,20.6
1757699620187,0.0,14.62,0.2
1757699621188,0.0,14.62,5.0
1757699622188,1.0,14.62,27.2
1757699623189,0.0,14.62,0.1
1757699624190,1.0,14.62,2.8
1757699625191,0.0,14.62,29.4
1757699626191,0.0,14.62,0.0
1757699627192,0.0,14.62,2.3
1757699628193,0.0,14.62,29.8
1757699629194,0.0,14.62,0.1
1757699630194,0.0,14.62,1.6
1757699631195,0.0,14.62,31.8
1757699632196,0.0,14.62,0.0
1757699633196,0.0,14.62,0.8
1757699634197,0.0,14.62,31.5
1757699635198,0.0,14.62,0.4
1757699636198,0.0,14.62,0.2
1757699637199,1.0,14.62,32.8
1757699638200,0.0,14.62,1.1
1757699639200,0.0,14.62,0.6
1757699640201,0.0,14.62,30.2
1757699641202,0.0,14.62,1.9
1757699642202,0.0,14.62,0.2
1757699643203,0.0,14.62,30.2
1757699644204,0.0,14.62,1.7
1757699645204,0.0,14.62,0.1
1757699646205,1.0,14.62,29.5
1757699647206,0.0,14.62,2.5
1757699648206,0.0,14.62,0.1
1757699649207,0.0,14.62,28.7
1757699650207,1.0,14.62,3.2
1757699651208,0.0,14.62,0.2
1757699652209,0.0,14.62,28.0
1757699653210,0.0,14.62,4.2
1757699654210,0.0,14.62,0.3
1757699655211,0.0,14.62,26.8
1757699656212,0.0,14.62,4.9
1757699657212,0.0,14.62,0.3
1757699658214,0.0,14.62,21.4
1757699659215,1.0,14.62,10.7
1757699660216,0.0,14.62,0.1
1757699661217,0.0,14.62,14.7
1757699662217,0.0,14.62,17.5
1757699663218,0.0,14.62,1.0
1757699664219,0.0,14.62,7.2
1757699665219,0.0,14.62,25.4
1757699666220,0.0,14.62,0.2
1757699667221,1.0,14.62,3.1
1757699668222,0.0,14.62,29.1
1757699669222,0.0,14.62,0.1
1757699670223,0.0,14.62,2.2
1757699671224,0.0,14.62,29.4
1757699672224,0.0,14.62,0.1
1757699673225,0.0,14.62,1.8
1757699674226,0.0,14.62,30.4
1757699675226,0.0,14.62,0.0
1757699676227,0.0,14.62,0.9
1757699677228,0.0,14.62,31.3
1757699678229,0.0,14.62,0.1
1757699679229,1.0,14.62,0.2
1757699680230,0.0,14.62,31.7
1757699681231,0.0,14.62,1.2
1757699682231,0.0,14.62,0.1
1757699683232,0.0,14.62,31.2
1757699684233,0.0,14.62,1.3
1757699685234,0.0,14.62,0.0
1757699686234,0.0,14.62,30.4
1757699687235,0.0,14.62,2.4
1757699688236,1.0,14.62,0.1
1757699689237,0.0,14.62,29.8
1757699690237,0.0,14.62,2.7
1757699691238,0.0,14.62,1.0
1757699692239,0.0,14.62,28.9
1757699693239,1.0,14.62,3.8
1757699694240,0.0,14.62,0.0
1757699695241,0.0,14.62,28.3
1757699696242,0.0,14.62,4.1
1757699697242,0.0,14.62,1.3
1757699698243,0.0,14.62,27.6
1757699699244,0.0,14.62,6.0
1757699700244,0.0,14.62,0.2
1757699701246,1.0,14.62,20.6
1757699702247,0.0,14.62,12.6
1757699703248,0.0,14.62,0.6
1757699704248,0.0,14.62,11.1
1757699705250,0.0,14.62,23.3
1757699706250,0.0,14.62,0.1
1757699707251,0.0,14.62,8.2
1757699708252,1.0,14.62,24.5
1757699709253,0.0,14.62,0.0
1757699710253,0.0,14.62,3.3
1757699711254,0.0,14.62,30.5
1757699712255,0.0,14.62,0.0
1757699713255,0.0,14.62,2.5
1757699714256,0.0,14.62,30.5
1757699715257,0.0,14.62,0.5
1757699716258,1.0,14.62,1.9
1757699717258,0.0,14.62,31.2
1757699718259,0.0,14.62,0.1
1757699719260,0.0,14.62,1.1
1757699720260,0.0,14.62,31.6
1757699721261,0.0,14.62,3.3
1757699722262,0.0,14.62,0.6
1757699723263,0.0,14.62,31.7
1757699724263,0.0,14.62,0.0
1757699725264,0.0,14.62,0.2
1757699726265,0.0,14.62,31.2
1757699727265,0.0,14.62,1.3
1757699728266,1.0,14.62,0.1
1757699729267,0.0,14.62,30.6
1757699730268,1.0,14.62,2.1
1757699731268,0.0,14.62,0.1
1757699732269,0.0,14.62,30.0
1757699733270,0.0,14.62,2.2
1757699734271,0.0,14.62,0.1
1757699735271,0.0,14.62,29.2
1757699736272,0.0,14.62,3.6
1757699737273,0.0,14.62,0.1
1757699738273,0.0,14.62,28.5
1757699739274,0.0,14.62,4.6
1757699740275,0.0,14.62,0.1
1757699741276,0.0,14.62,27.8
1757699742276,0.0,14.62,5.4
1757699743277,1.0,14.62,0.5
1757699744278,0.0,14.62,23.2
1757699745278,0.0,14.62,9.1
1757699746279,1.0,14.62,0.1
1757699747283,0.0,14.62,21.0
1757699748284,0.0,14.62,10.4
1757699749285,0.0,14.62,0.2
1757699750285,0.0,14.62,12.2
1757699751286,0.0,14.62,21.8
1757699752287,0.0,14.62,0.1
1757699753289,0.0,14.62,5.5
1757699754290,1.0,14.62,27.1
1757699755291,0.0,14.62,0.1
1757699756291,0.0,14.62,2.8
1757699757292,0.0,14.62,31.1
1757699758293,0.0,14.62,0.0
1757699759293,0.0,14.62,2.3
1757699760294,0.0,14.62,31.1
1757699761295,0.0,14.62,0.1
1757699762296,0.0,14.62,1.5
1757699763296,0.0,14.62,31.0
1757699764297,0.0,14.62,0.1
1757699765298,1.0,14.62,0.8
1757699766298,0.0,14.62,31.6
1757699767299,0.0,14.62,0.3
1757699768300,0.0,14.62,0.1
1757699769301,0.0,14.62,31.6
1757699770302,0.0,14.62,0.8
1757699771302,1.0,14.62,0.3
1757699772303,0.0,14.62,30.9
1757699773304,0.0,14.62,1.6
1757699774305,0.0,14.62,0.1
1757699775305,0.0,14.62,30.2
1757699776306,0.0,14.62,2.4
1757699777307,0.0,14.62,0.9
1757699778307,0.0,14.62,29.5
1757699779308,0.0,14.62,2.7
1757699780309,1.0,14.62,0.3
1757699781309,0.0,14.62,28.6
1757699782310,0.0,14.62,3.2
1757699783311,0.0,14.62,1.3
1757699784312,0.0,14.62,28.1
1757699785312,0.0,14.62,4.7
1757699786313,0.0,14.62,0.1
1757699787314,0.0,14.62,26.9
1757699788314,0.0,14.62,4.9
1757699789315,0.0,14.62,0.2
1757699790316,1.0,14.62,21.2
1757699791317,0.0,14.62,11.1
1757699792318,0.0,14.62,0.2
1757699793320,1.0,14.62,15.9
1757699794321,0.0,14.62,16.3
1757699795322,0.0,14.62,0.2
1757699796323,0.0,14.62,8.0
1757699797324,0.0,14.62,24.6
1757699798325,0.0,14.62,0.2
1757699799325,0.0,14.62,3.1
1757699800326,0.0,14.62,29.4
1757699801327,0.0,14.62,0.1
1757699802327,0.0,14.62,2.5
1757699803328,0.0,14.62,29.1
1757699804329,0.0,14.62,0.1
1757699805330,1.0,14.62,1.7
1757699806330,0.0,14.62,31.3
1757699807331,0.0,14.62,0.2
1757699808332,0.0,14.62,0.9
1757699809332,0.0,14.62,32.7
1757699810333,0.0,14.62,0.1
1757699811334,0.0,14.62,0.4
1757699812334,0.0,14.62,31.6
1757699813335,0.0,14.62,0.6
1757699814336,1.0,14.62,0.1
1757699815337,0.0,14.62,31.2
1757699816337,0.0,14.62,1.2
1757699817338,1.0,14.62,1.7
1757699818339,0.0,14.62,30.4
1757699819339,0.0,14.62,2.8
1757699820340,0.0,14.62,0.1
1757699821341,0.0,14.62,29.3
1757699822342,0.0,14.62,2.7
1757699823342,0.0,14.62,0.2
1757699824343,0.0,14.62,29.1
1757699825344,0.0,14.62,3.5
1757699826344,0.0,14.62,0.1
1757699827345,0.0,14.62,28.3
1757699828346,0.0,14.62,4.0
1757699829347,0.0,14.62,0.1
1757699830347,1.0,14.62,27.6
1757699831348,0.0,14.62,6.0
1757699832349,0.0,14.62,0.1
1757699833352,0.0,14.62,22.8
1757699834353,1.0,14.62,10.0
1757699835354,0.0,14.62,0.1
1757699836355,0.0,14.62,15.5
1757699837356,0.0,14.62,18.6
1757699838356,0.0,14.62,0.1
1757699839357,0.0,14.62,4.2
1757699840358,0.0,14.62,30.0
1757699841359,0.0,14.62,1.2
1757699842359,0.0,14.62,5.5
1757699843360,0.0,14.62,26.3
1757699844361,1.0,14.62,0.1
1757699845361,0.0,14.62,2.8
1757699846362,0.0,14.62,27.9
1757699847363,0.0,14.62,0.2
1757699848364,0.0,14.62,2.2
1757699849364,0.0,14.62,30.8
1757699850365,1.0,14.62,0.0
1757699851366,0.0,14.62,1.4
1757699852366,0.0,14.62,30.6
1757699853367,0.0,14.62,0.1
1757699854368,0.0,14.62,0.7
1757699855369,0.0,14.62,31.6
1757699856369,0.0,14.62,0.8
1757699857370,0.0,14.62,0.7
1757699858371,1.0,14.62,31.6
1757699859372,0.0,14.62,1.2
1757699860372,0.0,14.62,0.1
1757699861373,0.0,14.62,30.8
1757699862374,0.0,14.62,1.4
1757699863375,0.0,14.62,0.1
1757699864375,0.0,14.62,29.4
1757699865376,0.0,14.62,3.5
1757699866377,1.0,14.62,0.2
1757699867377,0.0,14.62,29.1
1757699868378,0.0,14.62,3.2
1757699869379,0.0,14.62,0.0
1757699870379,0.0,14.62,28.4
1757699871380,0.0,14.62,4.4
1757699872381,0.0,14.62,0.1
1757699873382,0.0,14.62,27.6
1757699874382,0.0,14.62,4.9
1757699875383,0.0,14.62,0.2
1757699876385,1.0,14.62,22.8
1757699877386,0.0,14.62,11.3
1757699878387,0.0,14.62,0.1
1757699879391,0.0,14.62,17.6
1757699880392,0.0,14.62,16.0
1757699881393,0.0,14.62,0.0
1757699882394,0.0,14.62,13.5
1757699883394,0.0,14.62,19.3
1757699884395,1.0,14.62,0.0
1757699885396,0.0,14.62,4.2
1757699886397,0.0,14.62,28.4
1757699887397,0.0,14.62,0.1
1757699888398,0.0,14.62,2.9
1757699889399,0.0,14.62,29.4
1757699890399,0.0,14.62,0.2
1757699891400,0.0,14.62,2.0
1757699892401,0.0,14.62,31.1
1757699893402,0.0,14.62,0.1
1757699894402,1.0,14.62,1.3
1757699895403,1.0,14.62,31.4
1757699896404,0.0,14.62,0.1
1757699897405,0.0,14.62,1.1
1757699898406,0.0,14.62,31.7
1757699899406,0.0,14.62,0.9
1757699900407,0.0,14.62,0.2
1757699901408,0.0,14.62,31.5
1757699902409,0.0,14.62,1.3
1757699903409,0.0,14.62,1.1
1757699904410,0.0,14.62,30.8
1757699905411,0.0,14.62,2.0
1757699906412,0.0,14.62,0.2
1757699907413,1.0,14.62,30.1
1757699908413,0.0,14.62,2.7
1757699909414,0.0,14.62,0.0
1757699910415,0.0,14.62,29.1
1757699911416,0.0,14.62,3.1
1757699912416,1.0,14.62,0.0
1757699913417,0.0,14.62,28.8
1757699914418,0.0,14.62,3.7
1757699915419,0.0,14.62,0.2
1757699916419,0.0,14.62,28.0
1757699917420,0.0,14.62,3.7
1757699918421,0.0,14.62,0.3
1757699919423,0.0,14.62,26.7
1757699920424,1.0,14.62,5.6
1757699921425,0.0,14.62,0.1
1757699922426,0.0,14.62,22.2
1757699923427,0.0,14.62,10.4
1757699924428,0.0,14.62,0.0
1757699925431,0.0,14.62,16.7
1757699926432,0.0,14.62,15.7
1757699927433,0.0,14.62,0.1
1757699928433,0.0,14.62,7.6
1757699929434,0.0,14.62,37.7
1757699930435,1.0,14.62,10.4
1757699931436,0.0,14.62,13.3
1757699932436,0.0,14.62,36.3
1757699933437,0.0,14.62,0.2
1757699934438,0.0,14.62,2.4
1757699935438,0.0,14.62,31.9
1757699936439,0.0,14.62,0.6
1757699937440,0.0,14.62,2.5
1757699938441,0.0,14.62,31.6
1757699939442,0.0,14.62,0.7
1757699940442,1.0,14.62,1.3
1757699941443,0.0,14.62,31.7
1757699942444,1.0,14.62,0.1
1757699943445,0.0,14.62,0.3
1757699944445,0.0,14.62,31.7
1757699945446,0.0,14.62,1.0
1757699946447,0.0,14.62,0.1
1757699947448,0.0,14.62,31.1
1757699948448,0.0,14.62,2.4
1757699949449,1.0,14.62,5.5
1757699950450,0.0,14.62,37.8
1757699951450,0.0,14.62,10.5
1757699952451,0.0,14.62,0.7
1757699953452,0.0,14.62,29.7
1757699954453,0.0,14.62,3.6
1757699955453,0.0,14.62,1.7
1757699956454,0.0,14.62,29.0
1757699957455,0.0,14.62,4.7
1757699958456,0.0,14.62,0.0
1757699959456,0.0,14.62,28.5
1757699960457,0.0,14.62,4.8
1757699961458,1.0,14.62,1.0
1757699962458,0.0,14.62,27.7
1757699963459,0.0,14.62,4.9
1757699964460,0.0,14.62,0.1
1757699965462,0.0,14.62,24.6
1757699966463,0.0,14.62,7.8
